0	0
3	0.112
4	0.176
5	0.24
6	0.304
7	0.37
8	0.436
9	0.503
10	0.57
12	0.688
14	0.803
16	0.913
20	1.13
30	1.7
40	2.26
50	2.81
60	3.37
70	3.93
80	4.49
90	5.04
100	5.5
150	7.15
200	8.1
300	9.5
