0	0
0.02	2
0.08	5
0.12	10
0.14	15
0.17	20
0.2	30
0.22	40
0.24	50
0.265	60
0.28	70
0.3	80
0.31	90
0.32	100
0.35	120
0.385	150
0.44	200
0.52	250
0.6	300
0.7	500
