0	0
1	109
1.5	180
2	247
2.5	360
3	474
3.5	650
4	828
4.7	1170
4.8	1226
4.9	1283
5	1343
5.2	1469
5.4	1603
5.6	1746
5.8	1898
6	2059
6.2	2230
6.4	2411
6.6	2602
6.8	2804
7	3017
7.2	3241
7.4	3477
7.6	3725
7.8	3984
8	4257
8.2	4542
8.4	4840
8.6	5151
8.8	5476
9	5815
9.05	5902
9.1	5990
9.15	6079
9.2	6168
9.4	6536
9.6	6919
9.8	7316
10	7730
12	13079
14	21292
16	33022
18	48826
20	69145
30	245660
40	538615
60	1228663
80	1843853
100	2274183
150	2891238
200	3190342
250	3359276
300	3453999
350	3513000
400	3556000
500	3646000
