0	0
4	1794
6	6578
8	14260
10	24495
12	36455
16	64745
20	96600
25	134550
30	172500
35	200100
40	241500
50	310500
60	377200
70	437000
80	506000
90	563500
100	621000
150	897000
200	1150000
250	1368500
300	1564000
350	1760000
400	1925000
500	2100000
